Year,Month,YearMonth,Country,GenreName,Revenue,InvoiceCount,UniqueCustomers
2019,1,2019-01,Brazil,Alternative & Punk,3.96,1,1
2019,1,2019-01,Brazil,Metal,4.95,1,1
2019,1,2019-01,Brazil,Pop,0.99,1,1
2019,1,2019-01,Brazil,Rock,0.99,1,1
2019,1,2019-01,Canada,Alternative & Punk,0.99,1,1
2019,1,2019-01,Canada,Latin,0.99,1,1
2019,1,2019-01,Canada,Metal,1.98,1,1
2019,1,2019-01,Canada,Rock,0.99,1,1
2019,1,2019-01,France,Alternative,0.99,1,1
2019,1,2019-01,France,Alternative & Punk,1.98,1,1
2019,1,2019-01,France,Pop,1.98,1,1
2019,1,2019-01,USA,Sci Fi & Fantasy,3.98,1,1
2019,1,2019-01,USA,TV Shows,3.98,1,1
2019,2,2019-02,Argentina,Alternative & Punk,8.91,3,2
2019,2,2019-02,Argentina,Latin,0.99,1,1
2019,2,2019-02,Argentina,Metal,0.99,1,1
2019,2,2019-02,Argentina,Rock,7.920000000000001,3,2
2019,2,2019-02,Argentina,TV Shows,1.99,1,1
2019,2,2019-02,Argentina,World,0.99,1,1
2019,2,2019-02,Australia,Rock,2.9699999999999998,1,1
2019,2,2019-02,Brazil,Alternative & Punk,4.95,3,3
2019,2,2019-02,Brazil,Jazz,5.94,1,1
2019,2,2019-02,Brazil,Latin,5.94,3,2
2019,2,2019-02,Brazil,Pop,4.95,2,2
2019,2,2019-02,Brazil,Rock,1.98,2,2
2019,2,2019-02,Canada,Alternative & Punk,2.9699999999999998,1,1
2019,2,2019-02,Canada,Latin,3.96,1,1
2019,2,2019-02,Canada,Metal,4.95,2,2
2019,2,2019-02,Canada,Pop,1.98,1,1
2019,2,2019-02,Canada,Rock,4.95,2,2
2019,2,2019-02,Czech Republic,Alternative & Punk,0.99,1,1
2019,2,2019-02,Czech Republic,Latin,4.95,2,2
2019,2,2019-02,Czech Republic,Metal,0.99,1,1
2019,2,2019-02,Czech Republic,Rock,0.99,1,1
2019,2,2019-02,Denmark,Metal,1.98,1,1
2019,2,2019-02,Germany,Blues,1.98,1,1
2019,2,2019-02,Germany,R&B/Soul,1.98,1,1
2019,2,2019-02,Italy,Hip Hop/Rap,1.98,1,1
2019,2,2019-02,Italy,Latin,0.99,1,1
2019,2,2019-02,Italy,Reggae,0.99,1,1
2019,2,2019-02,Italy,Rock,0.99,1,1
2019,2,2019-02,Poland,Latin,1.98,1,1
2019,2,2019-02,Poland,Metal,0.99,1,1
2019,2,2019-02,Poland,Pop,2.9699999999999998,1,1
2019,2,2019-02,Portugal,Drama,1.99,1,1
2019,2,2019-02,Portugal,Latin,0.99,1,1
2019,2,2019-02,Portugal,TV Shows,3.98,1,1
2019,2,2019-02,USA,Blues,6.930000000000001,2,1
2019,2,2019-02,USA,Electronica/Dance,0.99,1,1
2019,2,2019-02,USA,Jazz,1.98,1,1
2019,2,2019-02,USA,Latin,2.9699999999999998,2,1
2019,2,2019-02,USA,Metal,1.98,1,1
2019,2,2019-02,USA,Pop,4.95,2,1
2019,2,2019-02,USA,R&B/Soul,2.9699999999999998,1,1
2019,2,2019-02,USA,Rock,5.94,4,3
2019,2,2019-02,USA,Science Fiction,1.99,1,1
2019,2,2019-02,USA,Soundtrack,0.99,1,1
2019,2,2019-02,USA,TV Shows,5.97,2,2
2019,2,2019-02,United Kingdom,Latin,0.99,1,1
2019,2,2019-02,United Kingdom,R&B/Soul,1.98,1,1
2019,2,2019-02,United Kingdom,Rock,0.99,1,1
2019,3,2019-03,Australia,Metal,0.99,1,1
2019,3,2019-03,Australia,Rock,5.94,2,2
2019,3,2019-03,Belgium,Metal,2.9699999999999998,1,1
2019,3,2019-03,Belgium,Rock,2.9699999999999998,1,1
2019,3,2019-03,Brazil,Alternative & Punk,5.94,2,2
2019,3,2019-03,Brazil,Blues,0.99,1,1
2019,3,2019-03,Brazil,Bossa Nova,0.99,1,1
2019,3,2019-03,Brazil,Classical,0.99,1,1
2019,3,2019-03,Brazil,Electronica/Dance,0.99,1,1
2019,3,2019-03,Brazil,Jazz,1.98,1,1
2019,3,2019-03,Brazil,Latin,2.9699999999999998,3,3
2019,3,2019-03,Brazil,Metal,3.96,2,1
2019,3,2019-03,Brazil,Pop,2.9699999999999998,2,2
2019,3,2019-03,Brazil,R&B/Soul,0.99,1,1
2019,3,2019-03,Brazil,Rock,13.860000000000001,5,5
2019,3,2019-03,Brazil,TV Shows,1.99,1,1
2019,3,2019-03,Brazil,World,0.99,1,1
2019,3,2019-03,Canada,Alternative & Punk,0.99,1,1
2019,3,2019-03,Canada,Latin,6.930000000000001,3,3
2019,3,2019-03,Canada,Metal,7.920000000000001,3,2
2019,3,2019-03,Canada,Pop,2.9699999999999998,1,1
2019,3,2019-03,Canada,Rock,10.89,4,3
2019,3,2019-03,Canada,Sci Fi & Fantasy,1.99,1,1
2019,3,2019-03,Canada,World,0.99,1,1
2019,3,2019-03,Denmark,Alternative & Punk,0.99,1,1
2019,3,2019-03,Denmark,Metal,0.99,1,1
2019,3,2019-03,Denmark,Rock,5.94,2,2
2019,3,2019-03,France,Alternative & Punk,0.99,1,1
2019,3,2019-03,France,Blues,0.99,1,1
2019,3,2019-03,France,Classical,0.99,1,1
2019,3,2019-03,France,Latin,0.99,1,1
2019,3,2019-03,France,Metal,2.9699999999999998,2,2
2019,3,2019-03,France,Pop,1.98,1,1
2019,3,2019-03,France,Rock,4.95,1,1
2019,3,2019-03,France,TV Shows,1.99,1,1
2019,3,2019-03,Germany,Blues,0.99,1,1
2019,3,2019-03,Germany,Electronica/Dance,1.98,1,1
2019,3,2019-03,Germany,Jazz,0.99,1,1
2019,3,2019-03,Germany,Latin,2.9699999999999998,2,2
2019,3,2019-03,Germany,Pop,0.99,1,1
2019,3,2019-03,Germany,Rock,11.88,4,4
2019,3,2019-03,Germany,Soundtrack,6.930000000000001,1,1
2019,3,2019-03,Germany,TV Shows,1.99,1,1
2019,3,2019-03,Ireland,Alternative & Punk,0.99,1,1
2019,3,2019-03,Ireland,Latin,0.99,1,1
2019,3,2019-03,Ireland,Pop,1.98,1,1
2019,3,2019-03,Italy,Electronica/Dance,1.98,1,1
2019,3,2019-03,Italy,Hip Hop/Rap,2.9699999999999998,1,1
2019,3,2019-03,Italy,Metal,0.99,1,1
2019,3,2019-03,Italy,Rock,1.98,1,1
2019,3,2019-03,Netherlands,Alternative & Punk,0.99,1,1
2019,3,2019-03,Netherlands,Latin,0.99,1,1
2019,3,2019-03,Netherlands,Metal,0.99,1,1
2019,3,2019-03,Netherlands,Rock,3.96,1,1
2019,3,2019-03,Poland,Alternative & Punk,3.96,2,1
2019,3,2019-03,Poland,Latin,0.99,1,1
2019,3,2019-03,Poland,Metal,4.95,2,1
2019,3,2019-03,Poland,Rock,1.98,1,1
